"#","Listing ID","St","MLS Area","Address","# Beds","# Full Baths","# Half Baths","# Garage Spaces","Levels","Year Built","Acres","SqFt","List Price","LP$/SqFt","Close$/SqFt","Close Price","Close Date","DOM","CDOM"
"1","6450720","C","8E","3511 Fawn Creek Path","2","2","0","2.0","1","1983","0.11550","1,872","$849,950","$454.03","$422.01","$790,000","01/16/2024","90","90"
"1","5031296","C","8E","205 Bulian Ln Unit #B","3","2","0","1.0","2","1995","0.36200","1,629","$899,000","$551.87","$521.79","$850,000","12/12/2023","95","113"
"1","9184259","C","8E","303 Westlake Dr","3","2","0","2.0","1","1969","0.35000","1,514","$1,370,000","$904.89","$624.17","$945,000","01/29/2024","157","160"
"1","9791126","C","8E","2107 Toro Canyon Rd","4","2","1","2.0","2","1973","0.57650","2,966","$1,539,000","$518.88","$321.98","$955,000","01/29/2024","345","415"
"1","7484040","C","8E","3507 Pinnacle Rd","4","2","0","2.0","1","1978","0.25720","1,855","$900,000","$485.18","$522.91","$970,000","02/09/2024","6","6"
"1","9161758","C","8E","2009 Apricot Glen Dr","3","2","0","2.0","1.5","1980","0.31200","2,337","$1,200,000","$513.48","$449.29","$1,050,000","02/14/2024","10","10"
"1","4869493","C","8E","2800 Waymaker Way Unit #34","4","3","1","2.0","2","2001","0.29300","2,509","$1,150,000","$458.35","$438.42","$1,100,000","12/29/2023","43","40"
"1","4332928","C","8E","5105 Rollingwood Dr","2","1","0","0.0","1","1955","0.29400","1,056","$1,200,000","$1,136.36","$1,041.67","$1,100,000","12/15/2023","32","32"
"1","3283007","C","8E","5101 Scenic View Dr","3","2","0","0.0","1","1963","0.32000","2,203","$1,295,000","$587.83","$499.32","$1,100,000","03/15/2024","91","91"
"1","2395612","C","8E","2103 Trail Of Madrones","4","3","0","1.0","Multi/Split","1955","0.76030","2,741","$1,350,000","$492.52","$412.26","$1,130,000","04/12/2024","100","99"
"1","5924169","C","8E","3123 Honey Tree Ln","4","2","0","2.0","1","1980","0.25800","2,379","$1,250,000","$525.43","$483.40","$1,150,000","10/26/2023","6","5"
"1","2751250","C","8E","1036 Liberty Park Dr Unit #9A","3","3","0","2.0","2","2007","0.24450","2,655","$1,095,000","$412.43","$436.53","$1,159,000","12/07/2023","3","2"
"1","8371667","C","8E","405 Westbrook Dr","4","2","0","2.0","1","1968","0.34200","1,870","$1,400,000","$748.66","$620.32","$1,160,000","03/20/2024","94","94"
"1","6520133","C","8E","3504 Native Dancer Cv","4","3","1","2.0","1","1983","0.47900","2,971","$1,350,000","$454.39","$416.36","$1,237,000","12/13/2023","10","9"
"1","8735094","C","8E","3112 Eanes Cir","4","2","0","2.0","1","1980","0.31750","2,370","$1,300,000","$548.52","$550.84","$1,305,500","11/15/2023","57","55"
"1","6156256","C","8E","701 Terrace Mountain Dr","4","3","0","0.0","2","1977","0.64000","3,236","$1,295,000","$400.19","$406.37","$1,315,000","11/30/2023","9","8"
"1","1954333","C","8E","718 Yaupon Valley Rd","4","3","0","2.0","1","1975","0.63000","2,188","$1,349,000","$616.54","$607.86","$1,330,000","12/01/2023","159","159"
