"#","Listing ID","St","MLS Area","Address","# Beds","# Full Baths","# Half Baths","# Garage Spaces","Levels","Year Built","Acres","SqFt","List Price","LP$/SqFt","Close$/SqFt","Close Price","Close Date","DOM","CDOM"
"1","5924961","C","11","2006 Ponciana Loop","3","1","0","0.0","1","1977","0.16230","880","$225,000","$255.68","$176.14","$155,000","02/28/2024","25","25"
"1","5955681","C","11","4308 Norwood Ln","2","1","0","1.0","1","1953","0.71500","912","$175,000","$191.89","$191.89","$175,000","01/04/2024","1","1"
"1","7828895","C","11","5400 Peppertree Pkwy","4","1","0","0.0","1","1971","0.23600","1,400","$200,000","$142.86","$133.57","$187,000","01/10/2024","62","62"
"1","5520604","C","11","2309 Bitter Creek Dr","3","1","0","1.0","1","1972","0.17160","862","$229,999","$266.82","$220.42","$190,000","10/31/2023","68","68"
"1","8725715","C","11","4500 Revere Rd","3","2","0","1.0","1","1976","0.16890","965","$205,000","$212.44","$213.47","$206,000","02/29/2024","49","49"
"1","2752838","C","11","4904 TURNSTONE Dr","3","1","0","0.0","1","1980","0.00000","1,008","$254,000","$251.98","$208.33","$210,000","12/05/2023","12","12"
"1","3861699","C","11","4900 Brook Crest Rd","4","2","0","0.0","1","1984","0.16580","1,012","$259,000","$255.93","$215.42","$218,000","02/21/2024","33","33"
"1","1333901","C","11","2120 Ponciana Loop","3","1","0","0.0","1","1977","0.17610","854","$210,000","$245.90","$257.61","$220,000","03/20/2024","6","6"
"1","7435920","C","11","4903 Turnstone Dr","3","2","0","1.0","1","1980","0.16670","1,040","$250,000","$240.38","$216.35","$225,000","03/22/2024","12","12"
"1","3810108","C","11","6513 Stonleigh Pl","3","1","1","0.0","1","1973","0.13180","1,276","$174,900","$137.07","$176.33","$225,000","02/29/2024","8","8"
"1","3199826","C","11","5003 Pepper Ln","4","2","0","2.0","1","1977","0.16700","1,744","$225,000","$129.01","$132.45","$231,000","01/16/2024","2","2"
"1","3306870","C","11","2510 Dovemeadow Dr","3","1","0","1.0","1","1975","0.13970","988","$245,000","$247.98","$237.85","$235,000","11/13/2023","4","4"
"1","1747195","C","11","2523 E Stassney Ln","2","1","0","0.0","1","1978","0.22490","1,010","$235,000","$232.67","$243.07","$245,500","04/10/2024","4","3"
"1","9492109","C","11","4704 Cypress Bnd","2","2","0","1.0","1","2004","0.14800","1,141","$299,000","$262.05","$218.23","$249,000","11/09/2023","54","54"
"1","7258980","C","11","2201 Teri Rd","3","2","0","1.0","1","1972","0.24370","1,350","$279,000","$206.67","$196.30","$265,000","04/01/2024","2","1"
"1","3223699","C","11","5706 Hammermill Run","2","1","0","1.0","1","1976","0.12910","925","$298,000","$322.16","$297.30","$275,000","10/27/2023","78","72"
"1","9953855","C","11","2502 Chaparral Trl","3","2","0","0.0","1","1975","0.16570","1,435","$299,990","$209.05","$195.12","$280,000","02/14/2024","27","27"
"1","4012333","C","11","5916 Wagon Bnd","3","2","0","2.0","1","1974","0.15000","1,272","$295,000","$231.92","$224.06","$285,000","12/04/2023","12","12"
"1","8787530","C","11","6704 Meadow Lake Blvd","3","2","0","1.0","1","1982","0.15230","992","$299,000","$301.41","$292.34","$290,000","02/29/2024","8","8"
"1","2932546","C","11","6422 Colton Bluff Springs Rd","3","2","0","0.0","1","1994","0.17590","1,646","$295,000","$179.22","$179.22","$295,000","03/22/2024","43","43"
"1","7695530","C","11","2404 Bending Trl","3","2","0","2.0","1","1976","0.15100","1,185","$299,000","$252.32","$250.63","$297,000","11/16/2023","7","7"
"1","5097408","C","11","6004 Cooing Ct","3","1","0","0.0","1","1980","0.29190","1,244","$300,000","$241.16","$240.51","$299,200","12/28/2023","7","6"
"1","6426757","C","11","5804 Spring Meadow Rd","3","2","0","1.0","1","1984","0.18190","1,012","$295,000","$291.50","$295.95","$299,500","02/12/2024","3","3"
"1","5710424","C","11","4610 Candletree Ln","3","2","0","1.0","1","1980","0.13130","1,095","$319,000","$291.32","$273.97","$300,000","02/20/2024","99","99"
"1","5341959","C","11","6605 Zequiel Dr","3","2","0","2.0","1","1987","0.19000","1,416","$325,000","$229.52","$218.93","$310,000","01/05/2024","20","20"
"1","9409825","C","11","6503 Brushy Ridge Cv","3","2","0","1.0","1","1979","0.16910","1,371","$325,000","$237.05","$226.11","$310,000","12/01/2023","28","28"
"1","7407767","C","11","2425 E Stassney Ln","3","2","0","2.0","1","1978","0.40720","1,170","$330,000","$282.05","$267.35","$312,800","01/31/2024","51","51"
"1","5910022","C","11","6710 Stonleigh Pl","4","2","0","0.0","1","1972","0.16610","1,516","$319,000","$210.42","$207.60","$314,725","03/29/2024","111","111"
"1","7107316","C","11","2502 Bitter Creek Dr","3","2","0","1.0","1","1972","0.13390","1,300","$350,000","$269.23","$242.31","$315,000","03/22/2024","15","15"
"1","8696877","C","11","5413 Peppertree Pkwy","3","2","0","1.0","1","1973","0.16900","1,160","$319,000","$275.00","$275.00","$319,000","03/06/2024","5","5"
"1","6425968","C","11","7413 S Glenn St","3","2","0","2.0","1","2010","0.11400","1,548","$325,000","$209.95","$206.40","$319,500","03/15/2024","9","105"
"1","9146752","C","11","4607 Quicksilver Blvd","3","2","0","2.0","1","1984","0.18350","1,194","$315,000","$263.82","$268.01","$320,000","02/14/2024","119","119"
"1","6686408","C","11","4904 Turnstone Dr","3","1","0","0.0","1","1980","0.15270","1,008","$320,000","$317.46","$324.40","$327,000","03/22/2024","11","11"
"1","7392292","C","11","4609 Quicksilver Blvd","3","2","0","2.0","1","1984","0.23020","1,126","$329,000","$292.18","$292.18","$329,000","02/26/2024","371","371"
"1","7494709","C","11","5004 Creek Bend Dr","4","2","0","0.0","1","1972","0.15350","1,296","$350,000","$270.06","$254.63","$330,000","02/09/2024","88","86"
"1","1196023","C","11","4702 Dove Springs Dr","3","2","0","2.0","1","1979","0.16300","1,215","$339,000","$279.01","$271.60","$330,000","01/30/2024","114","114"
