"#","Listing ID","St","MLS Area","Address","# Beds","# Full Baths","# Half Baths","# Garage Spaces","Levels","Year Built","Acres","SqFt","List Price","LP$/SqFt","Close$/SqFt","Close Price","Close Date","DOM","CDOM"
"1","5366052","C","8E","1741 Spyglass Dr Unit #1-324","1","1","0","0.0","1.5","1985","0.05440","740","$325,000","$439.19","$439.19","$325,000","12/01/2023","42","41"
"1","2379103","C","8E","3207 Twinberry Cv Unit #A","2","2","1","1.0","2","1981","0.07850","1,155","$439,400","$380.43","$363.64","$420,000","12/22/2023","87","87"
"1","1107829","C","8E","1505 Terrapin Ct Unit #B","3","2","1","2.0","2","1980","0.14220","1,640","$825,000","$503.05","$496.95","$815,000","02/09/2024","93","93"
"1","2375271","C","8E","3901-A Belmont Park Dr Unit #3","3","2","1","2.0","2","1984","0.19520","2,491","$1,099,000","$441.19","$397.86","$991,077","02/29/2024","190","190"
"1","5571336","C","8E","3305 Cantwell Ln","3","2","1","1.0","2","2019","0.00000","1,966","$1,095,000","$556.97","$521.36","$1,025,000","04/12/2024","64","63"
"1","9930076","C","8E","610 Rock Park Dr","4","3","1","2.0","2","1970","0.25320","2,688","$1,395,000","$518.97","$465.03","$1,250,000","04/12/2024","55","55"
"1","2980439","C","8E","2508 Sutherland St","4","4","1","2.0","3+","2017","0.09840","2,878","$1,490,000","$517.72","$492.08","$1,416,200","02/27/2024","118","124"
"1","8688978","C","8E","2329 Westlake Dr Unit #8","4","4","1","2.0","3+","2000","0.35110","4,032","$4,300,000","$1,066.47","$930.06","$3,750,000","11/30/2023","85","82"
"1","5410969","C","8W","800 Cap of TX Highway Unit #5","3","3","1","2.0","3+","2021","16.00000","3,836","$1,182,170","$308.18","$304.66","$1,168,675","02/02/2024","62","62"
