"#","Listing ID","St","MLS Area","Address","# Beds","# Full Baths","# Half Baths","# Garage Spaces","Levels","Year Built","Acres","SqFt","List Price","LP$/SqFt","Close$/SqFt","Close Price","Close Date","DOM","CDOM"
"1","6996515","C","HU","21608 Wilmiller Ln","4","2","1","2.0","2","2021","0.15280","2,581","$435,000","$168.54","$169.31","$437,000","03/05/2024","4","4"
"1","1659174","C","PF","808 Whitehall Dr","3","2","0","2.0","1","1996","0.14700","1,299","$275,000","$211.70","$184.76","$240,000","12/29/2023","8","7"
"1","5349770","C","PF","16131 Stoneham Cir","3","2","0","1.0","1","1984","0.09680","1,033","$265,000","$256.53","$242.01","$250,000","11/14/2023","20","20"
"1","7256633","C","PF","17228 Sandwick Dr","3","2","0","2.0","1","1998","0.17100","2,046","$235,000","$114.86","$123.66","$253,000","01/30/2024","4","4"
"1","8113439","C","PF","15520 Sutton Leighs Ln","3","2","0","2.0","1","2001","0.12090","1,616","$398,000","$246.29","$160.89","$260,000","10/30/2023","48","48"
"1","3364184","C","PF","1615 Harness Race Way","3","2","0","2.0","1","2000","0.10480","1,377","$294,950","$214.20","$192.45","$265,000","02/14/2024","37","145"
"1","2937321","C","PF","3408 Bach Dr","4","2","0","2.0","1","2008","0.10730","1,429","$300,000","$209.94","$185.79","$265,500","03/15/2024","107","107"
"1","8329718","C","PF","14212 Tea Room Cv","3","2","1","2.0","2","2001","0.20770","1,422","$285,000","$200.42","$188.12","$267,500","01/17/2024","36","36"
"1","7278945","C","PF","13702 Lothian Dr","4","2","1","2.0","2","1993","0.00000","2,094","$299,000","$142.79","$128.94","$270,000","12/01/2023","18","18"
"1","6502450","C","PF","13709 Spring Heath Rd","4","3","0","0.0","2","1998","0.21120","1,440","$250,000","$173.61","$190.97","$275,000","12/27/2023","8","8"
"1","7817280","C","PF","13902 Merseyside Dr","3","2","0","2.0","2","1987","0.10790","1,062","$294,000","$276.84","$258.95","$275,000","11/09/2023","54","53"
"1","6109631","C","PF","15902 Parkway Dr","3","2","0","2.0","1","1979","0.21690","1,313","$300,000","$228.48","$213.25","$280,000","11/02/2023","7","21"
"1","1434797","C","PF","3213 Mildura Cv","4","2","1","2.0","2","2013","0.15110","2,143","$349,000","$162.86","$130.66","$280,000","12/29/2023","60","60"
"1","9358197","C","PF","18002 Malnati Dr","2","2","1","2.0","2","2019","0.15130","1,264","$299,000","$236.55","$225.08","$284,500","10/30/2023","7","7"
"1","6379327","C","PF","21300 Secretariat Ridge Ln","3","2","0","2.0","1","1999","0.10560","1,474","$290,000","$196.74","$196.74","$290,000","12/18/2023","53","53"
"1","5158541","C","PF","20810 Pacers Gait Ln","3","2","0","2.0","1","1997","0.14810","1,274","$312,500","$245.29","$231.55","$295,000","11/03/2023","112","112"
"1","1703327","C","PF","18412 Mammoth Cave Blvd","3","2","1","2.0","2","2014","0.08980","1,314","$315,000","$239.73","$226.79","$298,000","11/15/2023","9","9"
"1","2354407","C","PF","1014 Greenhill Dr","3","2","0","2.0","1","1983","0.23000","1,370","$299,000","$218.25","$218.25","$299,000","12/05/2023","5","5"
"1","4705998","C","PF","17912 Papaveri Way","3","2","1","2.0","2","2021","0.15130","1,298","$299,900","$231.05","$231.05","$299,900","11/21/2023","4","4"
"1","4022372","C","PF","17904 Kenai Fjords Dr Unit #1","3","2","1","2.0","2","2005","0.09990","1,496","$315,000","$210.56","$200.53","$300,000","03/26/2024","14","14"
"1","6881949","C","PF","1210 Acanthus St","3","2","1","2.0","2","1997","0.11800","1,654","$300,000","$181.38","$181.38","$300,000","12/21/2023","3","3"
"1","3272724","C","PF","1400 Anhalt Dr Unit #45B","3","2","0","2.0","1","2019","0.14440","1,332","$300,000","$225.23","$225.23","$300,000","01/11/2024","6","6"
"1","3697952","C","PF","21415 Grand National Ave","3","2","0","2.0","1","1999","0.10800","1,474","$300,000","$203.53","$203.53","$300,000","12/13/2023","57","55"
