"#","Listing ID","St","MLS Area","Address","# Beds","# Full Baths","# Half Baths","# Garage Spaces","Levels","Year Built","Acres","SqFt","List Price","LP$/SqFt","Close$/SqFt","Close Price","Close Date","DOM","CDOM"
"1","7743693","C","CM","111 Elm Hill Ct","8","5","2","0.0","2","1998","0.16000","4,000","$440,000","$110.00","$105.00","$420,000","03/28/2024","17","14"
"1","8928330","C","GU","5001 Redwood Rd","3","1","0","0.0","1","1975","0.50000","1,020","$210,000","$205.88","$205.88","$210,000","01/22/2024","44","41"
"1","9744318","C","GU","112 Discovery Ln","3","2","0","0.0","1","1985","0.43000","1,500","$305,000","$203.33","$176.67","$265,000","10/31/2023","5","4"
"1","4520589","C","GU","180 Dandelion Trl","3","2","0","2.0","1","2022","0.50000","1,375","$319,900","$232.65","$232.65","$319,900","12/12/2023","3","2"
"1","6731335","C","GU","423 Ridge Dr","3","2","0","2.0","1","1995","0.86000","1,710","$397,000","$232.16","$216.37","$370,000","11/20/2023","82","82"
"1","6758796","C","GU","1311 scull Rd","4","2","0","0.0","1","2022","10.01000","1,560","$499,900","$320.45","$320.45","$499,900","04/03/2024","105","105"
"1","4079771","C","GU","1660 Scull Rd","3","2","1","3.0","1","2018","10.50300","2,575","$915,000","$355.34","$349.51","$900,000","02/02/2024","68","65"
"1","5393221","C","HH","170 Gypsum Vly","3","2","1","0.0","2","2023","0.10100","1,360","$199,990","$147.05","$139.70","$189,990","01/23/2024","4","4"
"1","8140998","C","HH","597 Soapstone Pass","3","2","0","0.0","1","2023","0.10100","1,230","$199,990","$162.59","$158.53","$194,990","02/16/2024","20","20"
"1","1336921","C","HH","185 Gypsum Vly","3","2","1","1.0","2","2023","0.10100","1,189","$206,990","$174.09","$164.00","$195,000","01/23/2024","7","7"
"1","6014726","C","HH","125 Gabbro Gdns","3","2","0","0.0","1","2023","0.10100","1,450","$239,990","$165.51","$134.66","$195,260","12/27/2023","12","12"
"1","4949147","C","HH","124 Gypsum Vly","3","2","1","1.0","2","2023","0.10100","1,189","$199,990","$168.20","$168.20","$199,990","02/21/2024","33","33"
"1","8294287","C","HH","214 Gypsum Vly","3","2","1","1.0","2","2023","0.10100","1,360","$199,990","$147.05","$147.05","$199,990","01/17/2024","15","15"
"1","5228880","C","HH","267 Gypsum Vly","3","2","0","0.0","1","2023","0.10100","1,450","$246,990","$170.34","$137.92","$199,990","12/29/2023","12","12"
