"#","Listing ID","St","MLS Area","Address","# Beds","# Full Baths","# Half Baths","# Garage Spaces","Levels","Year Built","Acres","SqFt","List Price","LP$/SqFt","Close$/SqFt","Close Price","Close Date","DOM","CDOM"
"1","4660188","C","2N","12166 Metric Blvd Unit #337","1","1","0","0.0","1","1986","0.03600","559","$184,900","$330.77","$313.06","$175,000","11/20/2023","104","99"
"1","7292392","C","2N","12166 Metric Blvd Unit #241","1","1","0","0.0","1","1986","0.03600","559","$189,900","$339.71","$314.85","$176,000","04/03/2024","61","57"
"1","3806291","C","2N","12166 Metric Blvd Unit #223","1","1","0","0.0","1","1986","0.03600","559","$180,000","$322.00","$322.00","$180,000","02/12/2024","58","58"
"1","9568451","C","2N","12166 Metric Blvd Unit #106","1","1","0","0.0","1","1986","0.03600","516","$184,900","$358.33","$358.72","$185,100","02/29/2024","255","255"
"1","8105960","C","2N","12166 Metric Blvd Unit #1006","1","1","0","0.0","1","1986","0.03600","657","$200,000","$304.41","$296.80","$195,000","03/07/2024","60","59"
"1","4149591","C","2N","12166 Metric Blvd Unit #1001","1","1","0","0.0","1","1986","0.03600","727","$225,000","$309.49","$287.68","$209,145","11/20/2023","64","62"
"1","3916639","C","2N","11901Q Swearingen Dr Unit #89-Q","2","1","1","0.0","2","1985","0.07270","829","$210,000","$253.32","$253.32","$210,000","03/15/2024","106","106"
"1","8320434","C","2N","11901 Swearingen Dr Unit #125","1","1","0","0.0","1","1996","0.04780","546","$214,000","$391.94","$391.94","$214,000","02/22/2024","173","173"
"1","4488546","C","2N","12166 Metric Blvd Unit #246","2","2","0","0.0","1","1986","0.03600","887","$232,500","$262.12","$253.66","$225,000","01/03/2024","203","314"
"1","2497944","C","2N","12166 Metric Blvd Unit #150","2","2","0","0.0","1","1986","0.03600","887","$235,000","$264.94","$257.05","$228,000","12/14/2023","52","52"
"1","4722533","C","2N","8900 Parkfield Dr Unit #A","2","1","1","2.0","2","1973","0.00920","1,080","$239,000","$221.30","$221.30","$239,000","01/22/2024","132","131"
"1","6749780","C","2N","1417 W Braker Ln Unit #B","2","2","0","1.0","1","1980","0.10590","1,043","$299,000","$286.67","$239.69","$250,000","02/29/2024","21","21"
"1","1447886","C","2N","8400 Jamestown Dr Unit #306","2","1","1","0.0","2","1982","0.05730","968","$250,000","$258.26","$258.26","$250,000","01/31/2024","99","193"
"1","3962167","C","2N","11821 Bittern Holw Unit #40","2","2","1","0.0","2","1984","0.00000","1,042","$250,000","$239.92","$243.52","$253,750","03/07/2024","42","42"
"1","8916944","C","2N","1619B W Braker Ln Unit #B","2","1","0","1.0","1","1981","0.04930","988","$275,000","$278.34","$259.41","$256,300","04/05/2024","42","42"
"1","1792643","C","2N","1411 Gracy Farms Ln Unit #63","2","1","1","0.0","2","1985","0.06590","829","$270,000","$325.69","$311.22","$258,000","01/03/2024","73","73"
"1","5339670","C","2N","11901 Swearingen Dr Unit #76","2","1","0","0.0","1","1985","0.06590","752","$249,900","$332.31","$343.75","$258,500","04/09/2024","4","4"
"1","8016400","C","2N","12166 Metric Blvd Unit #380","2","2","0","0.0","1","1986","0.00000","1,004","$270,000","$268.92","$258.96","$260,000","04/08/2024","166","166"
"1","4583445","C","2N","12166 Metric Blvd Unit #368","2","2","0","0.0","1","1986","0.03600","1,004","$274,999","$273.90","$263.94","$265,000","03/06/2024","29","29"
"1","1867598","C","2N","1010 W Rundberg Ln Unit #30","2","1","1","2.0","1","1980","0.07730","1,170","$255,000","$217.95","$226.50","$265,000","02/02/2024","20","59"
"1","6507594","C","2N","10506 Little Pebble Dr Unit #B","2","1","0","0.0","1","1977","0.20500","856","$288,000","$336.45","$317.76","$272,000","03/06/2024","158","157"
"1","3992274","C","2N","11901 SWEARINGEN Dr Unit #92","3","2","0","0.0","1","1985","0.00000","963","$279,900","$290.65","$285.57","$275,000","03/14/2024","89","89"
"1","2736941","C","2N","8906 TRONE Cir Unit #B","3","1","1","2.0","2","1972","0.00000","1,433","$300,000","$209.35","$202.37","$290,000","03/19/2024","44","37"
"1","3429287","C","2N","11901 Swearingen Dr Unit #126","2","2","1","0.0","2","1996","0.00000","1,042","$300,000","$287.91","$287.91","$300,000","12/28/2023","38","38"
"1","4725180","C","2N","11821 Bittern Holw Unit #13","3","2","0","0.0","1","1984","0.11590","963","$305,000","$316.72","$316.72","$305,000","02/01/2024","53","92"
"1","3467241","C","2N","1715 Harliquin Run","2","2","0","2.0","1","1979","0.13930","1,296","$341,000","$263.12","$245.37","$318,000","12/12/2023","136","136"
"1","4988349","C","2N","1902 Albury Cv Unit #A","2","2","0","0.0","2","1983","0.27660","1,144","$450,000","$393.36","$377.62","$432,000","02/28/2024","76","75"
"1","5706524","C","2N","1903 Albury Cv Unit #B","2","2","0","0.0","2","1983","0.27660","1,144","$450,000","$393.36","$393.36","$450,000","03/20/2024","42","42"
"1","5829021","C","2N","1902 Albury Cv Unit #D","3","2","0","0.0","2","1983","0.22640","1,144","$475,000","$415.21","$415.21","$475,000","12/07/2023","0","0"
"1","3766529","C","2N","1911 Albury Cv Unit #D","2","2","0","0.0","2","1983","0.27660","1,144","$500,000","$437.06","$437.06","$500,000","03/08/2024","4","4"
