"#","Listing ID","St","MLS Area","Address","# Beds","# Full Baths","# Half Baths","# Garage Spaces","Levels","Year Built","Acres","SqFt","List Price","LP$/SqFt","Close$/SqFt","Close Price","Close Date","DOM","CDOM"
"1","1136448","C","CLN","200 Fluttermill Loop","3","2","1","2.0","2","2022","0.11000","1,958","$369,000","$188.46","$182.75","$357,825","12/12/2023","467","467"
"1","8425127","C","CLN","79 Pacific Loon St","3","2","1","2.0","2","2023","0.11000","1,837","$373,910","$203.54","$194.88","$358,000","12/12/2023","16","16"
"1","5601278","C","CLN","67 Pacific Loon St","3","2","0","2.0","1","2024","0.11470","1,515","$359,210","$237.10","$237.10","$359,210","04/01/2024","45","45"
"1","8482094","C","CLN","78 Pacific Loon St","3","2","1","2.0","2","2023","0.11000","1,625","$375,070","$230.81","$221.54","$360,000","02/20/2024","117","117"
"1","5277681","C","CLN","145 Clemens Dr","3","2","1","2.0","2","2024","0.10000","1,811","$361,604","$199.67","$199.67","$361,604","03/20/2024","22","22"
"1","1267175","C","CLN","324 Fluttermill Loop","3","2","1","2.0","2","2022","0.11000","1,958","$374,000","$191.01","$185.46","$363,125","12/18/2023","446","446"
"1","9635308","C","CLN","232 Travis Ln","3","2","1","2.0","2","2024","0.10000","1,964","$370,714","$188.75","$188.75","$370,714","02/20/2024","126","126"
"1","2661804","C","CLN","141 Wind Flower Ln","4","3","1","2.0","2","2019","0.10950","2,384","$387,000","$162.33","$159.40","$380,000","12/08/2023","18","17"
"1","2997413","C","CLN","11 Pacific Loon St","3","2","0","2.0","1","2023","0.16000","1,711","$435,270","$254.40","$222.25","$380,270","11/13/2023","68","68"
"1","9850594","C","CLN","109 Purple Sandpiper Ln","4","3","0","2.0","1","2023","0.13800","1,908","$389,690","$204.24","$199.52","$380,690","01/04/2024","68","68"
"1","4912418","C","CLN","26 Snowy Plover Ln","3","2","0","2.0","1","2023","0.15000","1,908","$405,910","$212.74","$201.10","$383,694","12/06/2023","167","167"
"1","7616863","C","CLN","117 Danielson St","4","3","0","2.0","1","2023","0.12400","1,736","$399,900","$230.36","$223.50","$388,000","12/28/2023","105","105"
"1","5003762","C","CLN","75 Pacific Loon St","4","3","0","2.0","2","2024","0.11470","2,034","$399,910","$196.61","$191.74","$390,006","03/22/2024","35","35"
"1","2665335","C","CLN","133 Clemens Dr","3","3","0","2.0","2","2024","0.10000","2,180","$391,306","$179.50","$179.50","$391,306","03/28/2024","149","149"
"1","9153721","C","CLN","236 Travis Ln","3","3","0","2.0","2","2024","0.10000","2,180","$394,855","$181.13","$180.92","$394,395","02/28/2024","142","142"
"1","5031920","C","CLN","316 Fluttermill Loop","4","3","0","2.0","2","2022","0.14000","2,413","$413,000","$171.16","$163.70","$395,000","11/29/2023","100","100"
"1","3545483","C","CLN","300 Fluttermill Loop","4","3","0","2.0","2","2022","0.14000","2,413","$395,000","$163.70","$163.70","$395,000","11/16/2023","392","392"
"1","9181532","C","CLN","629 Red Knot Ave","4","2","1","2.0","2","2023","0.14300","2,203","$421,160","$191.18","$179.51","$395,460","12/26/2023","168","168"
"1","2985014","C","CLN","328 Fluttermill Loop","4","3","0","2.0","2","2022","0.14000","2,413","$423,000","$175.30","$168.03","$405,460","12/15/2023","469","469"
"1","1662055","C","CLN","241 Travis Ln","4","3","1","2.0","2","2024","0.11000","2,281","$414,078","$181.53","$177.90","$405,796","03/21/2024","0","0"
"1","1205270","C","CLN","305 Travis Ln","4","3","1","2.0","2","2024","0.11000","2,281","$406,285","$178.12","$178.60","$407,396","01/12/2024","77","77"
"1","8194287","C","CLN","129 Danielson St","3","2","1","2.0","1","2023","0.12400","1,722","$409,900","$238.04","$238.04","$409,900","03/15/2024","217","217"
"1","2268798","C","CLN","101 McCrae Dr","4","3","1","2.0","2","2024","0.13000","2,347","$412,803","$175.89","$175.83","$412,673","02/23/2024","58","58"
"1","4931977","C","CLN","249 Travis Ln","3","2","1","2.0","2","2024","0.11000","2,202","$414,004","$188.01","$187.58","$413,044","01/26/2024","2","2"
"1","4743070","C","CLN","113 Bauer Loop","4","3","0","2.0","1","2023","0.12400","2,169","$439,900","$202.81","$190.92","$414,113","12/28/2023","144","144"
"1","8661638","C","CLN","113 Danielson St","3","2","0","2.0","1","2023","0.12400","1,650","$399,900","$242.36","$250.98","$414,113","12/28/2023","7","7"
"1","3638424","C","CLN","517 Red Knot Ave","4","2","1","2.0","2","2023","0.16000","2,081","$414,990","$199.42","$199.42","$414,990","12/08/2023","218","218"
"1","1463554","C","CLN","200 Copper Lily Dr","4","2","1","2.5","2","2023","0.15070","2,280","$456,209","$200.09","$182.02","$415,000","03/15/2024","220","220"
"1","2694248","C","CLN","209 Copper Lily Dr","4","2","1","2.5","2","2023","0.14900","2,280","$456,187","$200.08","$182.02","$415,000","02/26/2024","198","198"
"1","4603316","C","CLN","608 Red Knot Ave","4","2","1","2.0","2","2023","0.11000","2,202","$429,060","$194.85","$188.71","$415,550","01/26/2024","148","148"
"1","7559614","C","CLN","113 McCrae Dr","4","3","1","2.0","2","2024","0.12210","2,281","$416,813","$182.73","$182.73","$416,813","03/21/2024","20","20"
"1","1653301","C","CLN","101 Danielson St","3","2","0","2.0","1","2023","0.12400","1,722","$419,900","$243.84","$243.84","$419,900","01/22/2024","30","30"
"1","5161766","C","CLN","133 Bauer Loop","3","2","0","2.0","1","2023","0.12400","1,984","$439,900","$221.72","$211.64","$419,900","12/27/2023","70","70"
"1","3505226","C","CLN","129 Fire Wheel Pass","3","2","0","2.0","1","2017","0.14440","1,901","$420,000","$220.94","$220.94","$420,000","04/16/2024","5","5"
"1","5854711","C","CLN","232 Trellis Blvd","4","2","1","2.0","2","2017","0.13770","2,603","$425,000","$163.27","$161.35","$420,000","10/20/2023","7","7"
"1","3923783","C","CLN","128 Danielson St","3","2","0","2.0","1","2023","0.12400","1,593","$421,900","$264.85","$264.60","$421,504","12/28/2023","0","0"
"1","6538650","C","CLN","136 Danielson St","3","2","0","2.0","1","2023","0.12400","1,743","$421,900","$242.05","$242.66","$422,955","12/28/2023","0","0"
"1","3320115","C","CLN","3 Pacific Loon St","5","3","0","2.0","2","2023","0.16000","2,705","$459,990","$170.05","$156.64","$423,710","10/20/2023","131","131"
"1","2719072","C","CLN","244 Travis Ln","4","2","1","2.0","2","2024","0.13000","2,570","$426,897","$166.11","$166.11","$426,897","04/05/2024","166","166"
"1","7099093","C","CLN","413 Bauer Loop","3","2","1","2.0","2","2024","0.11000","2,229","$460,365","$206.53","$192.46","$428,990","03/15/2024","50","50"
