"#","Listing ID","St","MLS Area","Address","# Beds","# Full Baths","# Half Baths","# Garage Spaces","Levels","Year Built","Acres","SqFt","List Price","LP$/SqFt","Close$/SqFt","Close Price","Close Date","DOM","CDOM"
"1","2411015","C","RRE","1211 Wroxton Way","3","2","0","2.0","1","1979","0.18000","1,291","$324,500","$251.36","$255.62","$330,000","01/03/2024","53","51"
"1","9872331","C","RRE","2152 Redwing Way","3","2","0","1.0","1","1992","0.08260","1,140","$335,000","$293.86","$293.86","$335,000","03/01/2024","3","38"
"1","6718095","C","RRE","2644 Bradley Ln","3","2","0","2.0","1","1999","0.16920","1,719","$350,000","$203.61","$194.88","$335,000","02/29/2024","7","6"
"1","3446499","C","RRE","525 Rolling Oak Dr","3","2","1","2.0","2","2008","0.10920","1,585","$330,000","$208.20","$211.36","$335,000","12/21/2023","8","7"
"1","4376046","C","RRE","1804 Mathers Mill Trl","3","2","0","2.0","1","2014","0.14010","1,328","$340,000","$256.02","$252.26","$335,000","10/31/2023","8","7"
"1","8291818","C","RRE","706 Saunders Dr","4","2","0","2.0","1","1985","0.12890","1,490","$343,500","$230.54","$226.85","$338,000","02/06/2024","86","84"
"1","6682744","C","RRE","1003 Keeshond Pl","3","2","1","2.0","2","2000","0.14540","1,811","$335,000","$184.98","$187.74","$340,000","01/30/2024","10","10"
"1","7948210","C","RRE","2315 Raintree Path","3","2","0","2.0","1","1992","0.17400","1,495","$350,000","$234.11","$227.42","$340,000","12/20/2023","16","16"
"1","9495203","C","RRE","800 Braesgreen Dr","3","2","0","2.0","1","1978","0.21000","1,567","$350,000","$223.36","$216.98","$340,000","01/03/2024","110","110"
"1","7315079","C","RRE","418 Maple Run","3","2","0","2.0","1","1986","0.15500","1,358","$342,500","$252.21","$250.37","$340,000","03/15/2024","228","226"
"1","9697593","C","RRE","2025 Charlotte Way","4","2","1","2.0","2","1998","0.14520","2,326","$335,000","$144.02","$147.03","$342,000","04/15/2024","4","181"
"1","4847058","C","RRE","731 Gabriel Mills Dr","3","2","0","2.0","1","2011","0.10850","1,326","$335,000","$252.64","$260.18","$345,000","03/08/2024","3","3"
"1","9461809","C","RRE","516 Dennis Dr","3","2","0","2.0","1","1975","0.24010","2,112","$384,900","$182.24","$163.35","$345,000","12/11/2023","28","109"
"1","1806298","C","RRE","1902 Magnolia Dr","3","2","0","2.0","1","1985","0.20880","1,292","$349,000","$270.12","$267.03","$345,000","11/14/2023","12","12"
"1","4108938","C","RRE","720 Gabriel Mills Dr","4","2","1","1.0","2","2011","0.12670","1,934","$349,900","$180.92","$178.39","$345,000","11/17/2023","49","49"
"1","8084335","C","RRE","1903 Zephyr Ln","3","2","0","2.0","1","2002","0.16200","1,355","$352,900","$260.44","$254.61","$345,000","11/07/2023","57","54"
"1","2447350","C","RRE","1765 Bayland St","3","2","0","2.0","1","2005","0.15000","1,715","$359,000","$209.33","$202.33","$347,000","10/24/2023","9","9"
"1","9977683","C","RRE","219 Chandler Crossing Trl","3","2","0","2.0","1","2002","0.13800","1,653","$349,000","$211.13","$211.13","$349,000","02/29/2024","3","3"
"1","6291199","C","RRE","1822 Wallin Loop","3","2","0","2.0","1","1999","0.13590","1,419","$350,000","$246.65","$245.95","$349,000","02/16/2024","35","35"
"1","4893507","C","RRE","2710 Vinson Ct","3","2","0","2.0","1","1998","0.15020","1,486","$349,500","$235.20","$235.20","$349,500","12/21/2023","10","10"
"1","7590303","C","RRE","2608 Bradley Ln","3","2","0","2.0","1","1998","0.18300","1,957","$349,900","$178.79","$178.79","$349,900","03/08/2024","6","6"
"1","3664020","C","RRE","1609 Breezy Ct","3","2","0","2.0","1","1999","0.11710","1,304","$350,000","$268.40","$268.40","$350,000","02/15/2024","12","12"
"1","4782004","C","RRE","1503 Clearview Loop","3","2","1","2.0","2","1986","0.20800","1,586","$362,900","$228.81","$220.68","$350,000","02/09/2024","7","7"
"1","8506444","C","RRE","1700 Breezy Ct","3","2","0","2.0","1","2014","0.15540","1,645","$375,000","$227.96","$215.20","$354,000","12/29/2023","12","10"
"1","6099401","C","RRE","701 Winnsboro Cv","3","2","0","2.0","1","2014","0.15130","1,362","$360,000","$264.32","$260.65","$355,000","03/21/2024","15","15"
"1","3530555","C","RRE","601 Dove Creek Dr","4","2","0","2.0","1","1975","0.23230","1,551","$369,000","$237.91","$228.88","$355,000","11/30/2023","9","9"
"1","1255009","C","RRE","1605 Greyson Dr","3","2","0","0.0","1","1977","0.23090","1,860","$365,000","$196.24","$191.40","$356,000","12/12/2023","65","65"
"1","7524511","C","RRE","2554 Vernell Way","3","2","0","2.0","1","1999","0.18150","1,719","$357,000","$207.68","$207.68","$357,000","02/05/2024","70","70"
